rms_mean,rms_var,amplitude_envelope_mean,amplitude_envelope_var,spectral_centroid_mean,spectral_centroid_var,spectral_rolloff_mean,spectral_rolloff_var,chroma_mean,chroma_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,genre
0.1078041,0.002750866,0.23460497,0.022105237,2354.2710703063412,738892.8386532794,5048.41113961518,2565337.697844567,0.42847756,0.08921721,-161.81602,4910.242,78.712814,943.8563,-19.275562,383.0281,55.11339,256.44485,13.201412,209.579,30.957823,149.57292,-7.0246754,176.93771,24.269943,99.95895,-12.8338585,142.08804,21.512705,124.445854,-13.528581,80.127785,12.772056,62.02611,-7.4467325,67.61982,12.7669935,64.24574,-3.334874,57.00364,9.13467,55.96866,-7.7527347,54.40942,0.641076,61.942566,-4.095522,66.30709,0.5013718,110.07683,reggae
0.11318445,0.0005838062,0.2850042,0.009561768,2634.0466588107224,821202.0864897581,5807.6232154302925,4560449.027774428,0.39776525,0.08231899,-111.69471,2633.422,82.26009,806.7477,13.068496,390.6962,31.930077,173.73247,23.68303,141.20917,-0.5323793,135.59715,12.029794,82.78135,3.6602066,93.40511,-5.7385216,154.78952,3.333035,57.779495,1.4207492,58.79824,0.77258295,49.32803,0.5596443,52.277367,-1.1348552,32.06949,-1.7467115,30.2816,0.55844426,43.03618,-2.323696,41.71283,-4.612612,41.23734,-0.62006694,29.198923,-4.944747,29.794886,country
0.016512703,4.912443e-05,0.03974293,0.0003506084,1214.3345474841144,83239.91893103656,2164.4285786631676,319374.56276808085,0.26684135,0.08422946,-374.73544,3095.507,153.82092,587.79297,-21.555332,226.22011,20.830206,93.81006,7.003569,67.85693,-3.9481635,68.81,-2.5215898,102.119316,-2.8035054,61.25272,-4.282765,67.28491,-4.499873,59.156425,-5.7614007,49.23237,-4.259625,35.57886,-3.8435433,48.75225,-4.5857606,49.80857,-3.6389863,44.19616,-2.2903485,46.811764,-3.1275449,54.68907,-0.21475947,67.00054,2.6295166,75.792946,1.8175368,102.77832,classical
0.029436052,0.00035664957,0.07299174,0.0020544066,1526.560670734666,91418.6742159739,2915.6907025505516,499723.92499898036,0.23423359,0.08345633,-326.89987,3199.8215,127.39418,309.96542,-30.584469,462.59747,37.475746,127.45162,-5.291166,131.1071,20.80699,116.74175,-1.7857137,72.69436,-4.6031647,100.23483,-4.048745,93.018456,5.2380347,73.80948,-0.6428718,125.61073,2.8008628,173.1837,7.245895,151.03796,3.9837852,113.01639,-2.390974,155.05629,1.4819995,125.20209,0.5834609,111.44618,-0.60632175,151.59587,2.334065,133.92981,2.6522102,210.3175,classical
0.16661067,0.0017464589,0.35722426,0.017812748,2355.621296823601,355324.04962322337,5176.777030070869,1259073.9671551345,0.49168044,0.08682575,-101.081245,2876.545,72.40871,441.7556,-2.374791,494.6191,46.051167,220.9657,5.5450935,152.64822,24.215149,84.64649,3.540355,84.01124,14.531002,68.572136,5.654686,84.19483,13.53511,95.26416,4.972193,53.8222,9.905891,54.037773,2.9368954,50.733364,-2.9988053,68.63505,-1.2425075,44.26811,2.3058746,34.591206,-2.8192255,28.791868,1.7559552,43.34245,0.8558955,35.401447,-4.3526983,48.99765,hiphop
0.08158259,0.00032264544,0.21659529,0.0044507775,2077.166787874547,231713.15751598217,4030.750626602409,804358.6919294357,0.43190938,0.07524192,-125.06511,1677.8448,115.20331,475.2075,-48.00468,290.06195,52.84311,113.2103,-13.491938,77.10712,21.765408,80.70366,-12.428562,60.01366,20.139963,41.574726,-18.370886,44.622684,10.11969,81.91596,-16.055443,43.23415,10.48674,42.93415,-17.959637,44.287945,1.2157047,37.27232,-11.543171,39.243652,1.8466086,33.54667,-12.854931,36.34561,3.4517848,35.95909,-12.594253,42.53833,-2.104668,29.896816,rock
0.1707804,0.0023804745,0.4253952,0.024622237,3391.8321168993366,591634.914794814,7204.406435939919,1352477.1670728652,0.42132524,0.08192044,-40.070427,2633.439,56.209106,405.8598,23.679754,307.27786,31.92545,209.52878,2.4516678,113.57674,2.5737195,112.81124,-2.4787798,120.029144,3.0920587,55.669987,1.8828639,96.951744,3.3509662,65.42305,0.00014283267,45.003666,-1.5209646,52.184017,-2.4554946,41.44918,-5.073821,42.86538,-3.6762688,35.803844,-7.849821,35.148605,-3.038609,55.410732,-2.7839167,45.43343,-7.496366,69.971,-3.6325722,67.065,disco
0.09814837,0.0015636311,0.24980758,0.012179293,2809.021561476355,358580.817431563,6001.3803771405765,724385.1208469572,0.4355066,0.08220167,-105.51604,1590.2484,79.25659,316.62195,-15.207652,365.04974,40.825546,136.01398,-12.26779,130.45247,23.559671,119.15648,-19.938488,85.0212,27.319254,77.83913,-16.512426,92.87895,21.538397,72.87883,-11.68012,44.620605,13.991893,44.851162,-10.775013,42.51375,9.3779545,36.796852,-12.224892,40.619106,2.0753548,38.383957,-12.2306795,31.75319,2.8724236,46.309338,-4.6847653,43.977192,8.17402,60.41982,disco
0.08383445,0.0012063795,0.1986123,0.009129151,1398.581574451892,240591.98623586586,3014.6734373488293,1332873.7957486133,0.36242777,0.09150705,-224.99405,10772.375,123.669685,493.4194,-9.775933,603.5743,56.605724,189.90967,10.427107,156.32957,20.634146,211.13596,-10.2572565,107.0346,15.573306,103.23665,-8.251973,69.60456,12.805178,92.67512,-9.004445,63.951183,7.690067,75.46798,-10.085666,56.71624,-0.25135598,42.637135,-5.2833486,46.788136,-2.8149054,46.33034,-4.421223,43.654392,1.5605098,34.35621,-5.0464134,47.208336,-3.5825648,41.29452,rock
0.20336604,0.005558663,0.49907702,0.03957837,2838.0210737706198,1172294.782367046,6485.7024485112715,6053319.822793372,0.41501155,0.09022944,-72.17291,5429.324,81.3121,1088.8888,16.72972,1012.9759,8.680574,404.7585,14.163569,248.22153,-1.0486612,264.51343,12.839069,221.62964,-0.5343492,160.06021,3.1377692,131.47447,3.1529665,122.826866,-3.4740798,120.04419,-1.1388003,75.621574,-0.6851626,72.63461,-3.9981558,88.66776,-1.0880299,57.609013,1.7791659,63.156624,3.4944947,72.10382,5.9058094,111.03934,6.3410254,105.63017,2.4415286,80.99804,pop
